"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"May-21","EC","European Championships 2021",11911,"MD","Semi final","5029818, 5041370","5026128, 5043452","21-15 / 21-10","21-15 "," 21-10","","","",21,15,21,10,,,,,,,2,0,42,25,8,8
"May-21","EC","European Championships 2021",11911,"MD","Semi final","5028974, 5031705","5007612, 5045957","23-21 / 21-17","23-21 "," 21-17","","","",23,21,21,17,,,,,,,2,0,44,38,8,8
"May-21","EC","European Championships 2021",11911,"MD","Quarter final","5028974, 5031705","5021894, 5025155","21-15 / 17-21 / 21-19","21-15 "," 17-21 "," 21-19","","",21,15,17,21,21,19,,,,,2,1,59,55,8,6
"May-21","EC","European Championships 2021",11911,"MD","Quarter final","5007612, 5045957","5024817, 5034535","21-12 / 19-21 / 21-9","21-Dec"," 19-21 "," 21-9","","",21,12,19,21,21,9,,,,,2,1,61,42,8,6
"May-21","EC","European Championships 2021",11911,"MD","Round 2","5024817, 5034535","5006858, 5008466","12-21 / 21-12 / 21-11","Dec-21"," 21-12 "," 21-11","","",12,21,21,12,21,11,,,,,2,1,54,44,8,4
"May-21","EC","European Championships 2021",11911,"MD","Round 2","5028974, 5031705","5008042, 5027248","16-21 / 21-16 / 21-14","16-21 "," 21-16 "," 21-14","","",16,21,21,16,21,14,,,,,2,1,58,51,8,4
"May-21","EC","European Championships 2021",11911,"MD","Round 2","5026128, 5043452","5008666, 5011601","21-18 / 19-21 / 21-16","21-18 "," 19-21 "," 21-16","","",21,18,19,21,21,16,,,,,2,1,61,55,8,4
"May-21","EC","European Championships 2021",11911,"MD","Round 1","5008042, 5027248","5007608, 5036698","21-11 / 21-13","21-Nov"," 21-13","","","",21,11,21,13,,,,,,,2,0,42,24,8,4
"Apr-22","EC","European Championships 2022",10279,"MD","Final","5028974, 5031705","5014310, 5029084","21-17 / 21-16","21-17 "," 21-16","","","",21,17,21,16,,,,,,,2,0,42,33,8,10
"Apr-22","EC","European Championships 2022",10279,"MD","Semi final","5028974, 5031705","5021894, 5025155","23-21 / 21-17","23-21 "," 21-17","","","",23,21,21,17,,,,,,,2,0,44,38,8,8
"Apr-22","EC","European Championships 2022",10279,"MD","Semi final","5014310, 5029084","5006858, 5008466","21-10 / 22-20","21-Oct"," 22-20","","","",21,10,22,20,,,,,,,2,0,43,30,8,8
"Apr-22","EC","European Championships 2022",10279,"MD","Quarter final","5014310, 5029084","5024817, 5034535","21-16 / 21-13","21-16 "," 21-13","","","",21,16,21,13,,,,,,,2,0,42,29,8,6
"Apr-22","EC","European Championships 2022",10279,"MD","Quarter final","5021894, 5025155","5027874, 5035147","21-14 / 23-21","21-14 "," 23-21","","","",21,14,23,21,,,,,,,2,0,44,35,8,6
"Apr-22","EC","European Championships 2022",10279,"MD","Quarter final","5028974, 5031705","5008666, 5011601","21-17 / 21-18","21-17 "," 21-18","","","",21,17,21,18,,,,,,,2,0,42,35,8,6
"Apr-22","EC","European Championships 2022",10279,"MD","Round 2","5014310, 5029084","5010636, 5049490","10-21 / 21-12 / 21-18","Oct-21"," 21-12 "," 21-18","","",10,21,21,12,21,18,,,,,2,1,52,51,8,4
