"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 4","5051712","5045258","15-3 / 15-7","15-Mar"," 15-7","","","",15,3,15,7,NA,NA,NA,NA,NA,NA,2,0,30,10,7,4
1992-09-01,"STAR5","Malaysia Open 1992",12485,"MS","Round 4","5046076","5048046","15-7 / 15-7","15-Jul"," 15-7","","","",15,7,15,7,NA,NA,NA,NA,NA,NA,2,0,30,14,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Quarter final","5041196","5050244","15-8 / 15-10","15-Aug"," 15-10","","","",15,8,15,10,NA,NA,NA,NA,NA,NA,2,0,30,18,7,6
1992-09-01,"STAR5","Indonesia Open 1992",12084,"MS","Round 2","5041196","5050764","9-15 / 15-8 / 15-0","Sep-15"," 15-8 "," 15-0","","",9,15,15,8,15,0,NA,NA,NA,NA,2,1,39,23,7,4
1992-09-01,"STAR4","Singapore Open 1992",11125,"MS","Round 3","5048691","5050244","12-15 / 15-6 / 15-0","Dec-15"," 15-6 "," 15-0","","",12,15,15,6,15,0,NA,NA,NA,NA,2,1,42,21,6,4
1992-10-01,"STAR3","German Open 1992",13052,"MS","Final","5048592","5041196","15-11 / 15-2","15-Nov"," 15-2","","","",15,11,15,2,NA,NA,NA,NA,NA,NA,2,0,30,13,5,10
1992-10-01,"STAR3","German Open 1992",13052,"MS","Semi final","5048592","5050208","15-2 / 17-15","15-Feb"," 17-15","","","",15,2,17,15,NA,NA,NA,NA,NA,NA,2,0,32,17,5,8
1992-10-01,"STAR3","German Open 1992",13052,"MS","Semi final","5041196","5040984","15-13 / 18-16","15-13 "," 18-16","","","",15,13,18,16,NA,NA,NA,NA,NA,NA,2,0,33,29,5,8
1992-10-01,"STAR3","German Open 1992",13052,"MS","Quarter final","5048592","5048811","15-1 / 15-5","15-Jan"," 15-5","","","",15,1,15,5,NA,NA,NA,NA,NA,NA,2,0,30,6,5,6
1992-10-01,"STAR3","German Open 1992",13052,"MS","Quarter final","5040984","5046716","15-18 / 15-6 / 15-5","15-18 "," 15-6 "," 15-5","","",15,18,15,6,15,5,NA,NA,NA,NA,2,1,45,29,5,6
1992-10-01,"STAR3","German Open 1992",13052,"MS","Quarter final","5050208","5046772","15-11 / 12-15 / 15-13","15-Nov"," 12-15 "," 15-13","","",15,11,12,15,15,13,NA,NA,NA,NA,2,1,42,39,5,6
1992-10-01,"STAR3","German Open 1992",13052,"MS","Round 3","5041196","5052941","15-1 / 17-14","15-Jan"," 17-14","","","",15,1,17,14,NA,NA,NA,NA,NA,NA,2,0,32,15,5,4
1992-10-01,"STAR3","German Open 1992",13052,"MS","Round 2","5041196","5048046","15-3 / 15-8","15-Mar"," 15-8","","","",15,3,15,8,NA,NA,NA,NA,NA,NA,2,0,30,11,5,4
1992-10-01,"STAR3","German Open 1992",13052,"MS","Round 2","5048811","5046519","15-7 / 7-15 / 17-15","15-Jul"," 7-15 "," 17-15","","",15,7,7,15,17,15,NA,NA,NA,NA,2,1,39,37,5,4
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Final","5050208","5049711","15-11 / 18-13","15-Nov"," 18-13","","","",15,11,18,13,NA,NA,NA,NA,NA,NA,2,0,33,24,4,10
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Semi final","5050208","5053081","17-16 / 15-8","17-16 "," 15-8","","","",17,16,15,8,NA,NA,NA,NA,NA,NA,2,0,32,24,4,8
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Semi final","5049711","5048592","10-15 / 15-8 / 15-7","Oct-15"," 15-8 "," 15-7","","",10,15,15,8,15,7,NA,NA,NA,NA,2,1,40,30,4,8
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Quarter final","5049711","5045381","13-15 / 15-10 / 15-5","13-15 "," 15-10 "," 15-5","","",13,15,15,10,15,5,NA,NA,NA,NA,2,1,43,30,4,6
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Quarter final","5053081","5052970","15-11 / 11-15 / 15-7","15-Nov"," 11-15 "," 15-7","","",15,11,11,15,15,7,NA,NA,NA,NA,2,1,41,33,4,6
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Round 3","5045381","5052941","15-9 / 17-14","15-Sep"," 17-14","","","",15,9,17,14,NA,NA,NA,NA,NA,NA,2,0,32,23,4,4
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Round 3","5048592","5046522","15-12 / 15-6","15-Dec"," 15-6","","","",15,12,15,6,NA,NA,NA,NA,NA,NA,2,0,30,18,4,4
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Round 2","5048592","5046772","15-4 / 15-8","15-Apr"," 15-8","","","",15,4,15,8,NA,NA,NA,NA,NA,NA,2,0,30,12,4,4
1992-10-01,"STAR2","Denmark Open 1992",13352,"MS","Round 2","5052077","5041196","14-18 / 15-5 / 15-8","14-18 "," 15-5 "," 15-8","","",14,18,15,5,15,8,NA,NA,NA,NA,2,1,44,31,4,4
1992-10-01,"STAR3","German Open 1992",13052,"MS","Round 3","5048592","5053081","15-2 / 12-15 / 15-4","15-Feb"," 12-15 "," 15-4","","",15,2,12,15,15,4,NA,NA,NA,NA,2,1,42,21,5,4
1992-11-01,"STAR4","China Open 1992",13382,"MS","Semi final","5040984","5050244","12-15 / 15-1 / 15-8","Dec-15"," 15-1 "," 15-8","","",12,15,15,1,15,8,NA,NA,NA,NA,2,1,42,24,6,8
1992-11-01,"STAR4","China Open 1992",13382,"MS","Quarter final","5034124","5047961","15-7 / 15-3","15-Jul"," 15-3","","","",15,7,15,3,NA,NA,NA,NA,NA,NA,2,0,30,10,6,6
1992-11-01,"STAR4","China Open 1992",13382,"MS","Quarter final","5040984","5045257","5-15 / 15-8 / 15-10","May-15"," 15-8 "," 15-10","","",5,15,15,8,15,10,NA,NA,NA,NA,2,1,35,33,6,6
