"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Round 3","5045377, 5047055","5046994, 5049289","15-9 / 15-3","15-Sep"," 15-3","","","",15,9,15,3,,,,,,,2,0,30,12,7,4
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Round 2","5045377, 5047055","5030767, 5047345","8-15 / 15-4 / 15-7","Aug-15"," 15-4 "," 15-7","","",8,15,15,4,15,7,,,,,2,1,38,26,7,4
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Round 2","5045288, 5049927","5048584, 5049765","15-10 / 15-7","15-Oct"," 15-7","","","",15,10,15,7,,,,,,,2,0,30,17,7,4
"Jan-94","STAR5","Japan Open 1994",13212,"XD","Round 1","5050083, 5055012","5047873, 5054766","15-8 / 15-11","15-Aug"," 15-11","","","",15,8,15,11,,,,,,,2,0,30,19,7,4
"Jan-94","STAR5","Korea Open 1994",12282,"XD","Semi final","5042983, 5050334","5045377, 5047055","9-15 / 15-8 / 17-14","Sep-15"," 15-8 "," 17-14","","",9,15,15,8,17,14,,,,,2,1,41,37,7,8
"Jan-94","STAR5","Korea Open 1994",12282,"XD","Quarter final","5045377, 5047055","5046994, 5049289","2-15 / 18-13 / 18-16","Feb-15"," 18-13 "," 18-16","","",2,15,18,13,18,16,,,,,2,1,38,44,7,6
"Jan-94","STAR5","Korea Open 1994",12282,"XD","Quarter final","5045379, 5047031","5046301, 5052046","15-11 / 15-10","15-Nov"," 15-10","","","",15,11,15,10,,,,,,,2,0,30,21,7,6
"Jan-94","STAR5","Korea Open 1994",12282,"XD","Round 3","5045379, 5047031","5045944, 5048629","15-6 / 15-7","15-Jun"," 15-7","","","",15,6,15,7,,,,,,,2,0,30,13,7,4
"Jan-94","STAR5","Korea Open 1994",12282,"XD","Round 3","5014001, 5055411","5048584, 5049765","13-15 / 15-3 / 15-8","13-15 "," 15-3 "," 15-8","","",13,15,15,3,15,8,,,,,2,1,43,26,7,4
"Jan-94","STAR5","Korea Open 1994",12282,"XD","Round 2","5045377, 5047055","5046529, 5052951","18-15 / 6-15 / 18-16","18-15 "," 6-15 "," 18-16","","",18,15,6,15,18,16,,,,,2,1,42,46,7,4
"Jan-94","STAR5","Korea Open 1994",12282,"XD","Round 2","5042983, 5050334","5050027, 5053521","15-3 / 15-8","15-Mar"," 15-8","","","",15,3,15,8,,,,,,,2,0,30,11,7,4
"Mar-94","STAR3","Swiss Open 1994",11287,"XD","Quarter final","5045944, 5048629","5042983, 5050334","11-15 / 15-10 / 15-10","Nov-15"," 15-10 "," 15-10","","",11,15,15,10,15,10,,,,,2,1,41,35,5,6
"Mar-94","STAR3","Swiss Open 1994",11287,"XD","Quarter final","5050441, 5050470","5050083, 5055012","15-4 / 15-10","15-Apr"," 15-10","","","",15,4,15,10,,,,,,,2,0,30,14,5,6
"Mar-94","STAR3","Swiss Open 1994",11287,"XD","Round 2","5050083, 5055012","5048584, 5049765","15-11 / 15-10","15-Nov"," 15-10","","","",15,11,15,10,,,,,,,2,0,30,21,5,4
"Mar-94","STAR3","Swiss Open 1994",11287,"XD","Round 2","5046529, 5052951","5045219, 5050440","15-9 / 15-7","15-Sep"," 15-7","","","",15,9,15,7,,,,,,,2,0,30,16,5,4
"Mar-94","STAR3","Swiss Open 1994",11287,"XD","Round 1","5045944, 5048629","5046756, 5050131","15-9 / 10-7","15-Sep"," 10-7","","","",15,9,10,7,,,,,,,2,0,25,16,5,4
"Mar-94","STAR3","Swiss Open 1994",11287,"XD","Round 1","5042983, 5050334","5035067, 5049533","15-1 / 15-11","15-Jan"," 15-11","","","",15,1,15,11,,,,,,,2,0,30,12,5,4
"Mar-94","STAR5","All England Open 1994",13450,"XD","Quarter final","5046994, 5049289","5042983, 5050334","15-11 / 15-10","15-Nov"," 15-10","","","",15,11,15,10,,,,,,,2,0,30,21,7,6
"Mar-94","STAR5","All England Open 1994",13450,"XD","Round 2","5046529, 5052951","5048584, 5049765","15-12 / 15-8","15-Dec"," 15-8","","","",15,12,15,8,,,,,,,2,0,30,20,7,4
"Mar-94","STAR5","All England Open 1994",13450,"XD","Round 2","5042983, 5050334","5047670, 5053215","15-12 / 15-5","15-Dec"," 15-5","","","",15,12,15,5,,,,,,,2,0,30,17,7,4
"Mar-94","STAR5","All England Open 1994",13450,"XD","Round 2","5045944, 5048629","5045379, 5047031","15-12 / 8-15 / 15-9","15-Dec"," 8-15 "," 15-9","","",15,12,8,15,15,9,,,,,2,1,38,36,7,4
